Strain,Type,Effects
100-Og,hybrid,"Creative,Energetic,Tingly,Euphoric,Relaxed"
98-White-Widow,hybrid,"Relaxed,Aroused,Creative,Happy,Energetic"
1024,sativa,"Uplifted,Happy,Relaxed,Energetic,Creative"
13-Dawgs,hybrid,"Tingly,Creative,Hungry,Relaxed,Uplifted"
24K-Gold,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Talkative"
3-Bears-Og,indica,"Relaxed,Happy,Sleepy,Creative,Euphoric
"
3-Kings,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Hungry"
303-Og,indica,"Relaxed,Happy,Euphoric,Uplifted,Giggly"
3D-Cbd,sativa,"Uplifted,Focused,Happy,Talkative,Relaxed"
3X-Crazy,indica,"Relaxed,Tingly,Happy,Euphoric,Uplifted"
3Rd-Coast-Panama-Chunk,hybrid,"Energetic,Happy,Talkative,Uplifted"
501St-Og,hybrid,"Relaxed,Euphoric,Sleepy,Happy,Talkative"
5Th-Element,indica,"Relaxed,Focused,Euphoric,Uplifted,Aroused"
707-Headband,hybrid,"Euphoric,Happy,Uplifted,Talkative,Creative"
8-Ball-Kush,indica,"Relaxed,Uplifted,Happy,Creative,Euphoric"
818-Og,indica,"Relaxed,Happy,Euphoric,Giggly,Sleepy"
831-Og,indica,"Hungry,Relaxed,Creative,Euphoric,Aroused"
9-Pound-Hammer,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
91-Krypt,indica,"Relaxed,Euphoric,Happy,Hungry,Uplifted"
A-10,indica,"Relaxed,Focused,Happy,Sleepy,Uplifted"
A-Dub,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
A-Train,hybrid,"Creative,Euphoric,Relaxed,Happy,Hungry"
Acdc,hybrid,"Relaxed,Happy,Uplifted,Focused,Euphoric"
Ak-47,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Energetic"
Ak-48,hybrid,"Happy,Energetic,Uplifted,Creative,Relaxed"
Aberdeen,hybrid,"Uplifted,Euphoric,Giggly,Energetic,Sleepy"
Abusive-Og,indica,"Relaxed,Euphoric,Sleepy,Happy,Giggly"
Acapulco-Gold,sativa,"Happy,Uplifted,Euphoric,Energetic,Relaxed"
Ace-Killer-Og,indica,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
Ace-Of-Spades,indica,"Relaxed,Euphoric,Happy,Sleepy,Hungry"
Aceh,sativa,"Creative,Euphoric,Talkative,Energetic,Happy"
Acid,hybrid,"Creative,Happy,Euphoric,Energetic,Uplifted"
Acid-Dough,sativa,"Talkative,Giggly,Happy,Hungry,Relaxed"
Afcrack,hybrid,"Tingly,Euphoric,Happy,Relaxed,Uplifted"
Afghan-Big-Bud,indica,"Euphoric,Happy,Relaxed,Sleepy,Talkative"
Afghan-Cow,sativa,"Focused,Uplifted,Happy,Euphoric,Talkative"
Afghan-Diesel,hybrid,"Euphoric,Relaxed,Uplifted,Happy,Creative"
Afghan-Hawaiian,indica,"Tingly,Sleepy,Relaxed,Energetic,Aroused"
Afghan-Haze,hybrid,"Sleepy,Relaxed,Giggly,Happy,Creative"
Afghan-Kush,indica,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
Afghan-Skunk,indica,"Sleepy,Relaxed,Happy,Hungry,Giggly"
Afghan-Sour-Kush,indica,"Hungry,Relaxed,Aroused,Sleepy,Euphoric"
Afghan-Widow,hybrid,"Creative,Energetic,Euphoric,Focused,Uplifted"
Afghani,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Afgahni-Bullrider,indica,"Focused,Uplifted,Happy,Creative,Relaxed"
Afghani-Cbd,indica,"Relaxed,Happy,Sleepy,Tingly,Creative"
Afghanica,hybrid,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
Afghanimal,indica,"Hungry,Relaxed,Aroused,Sleepy,Focused"
Afghooey,indica,"Uplifted,Euphoric,Relaxed,Talkative,Creative"
Afgoo,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Afgooey,indica,"Relaxed,Happy,Sleepy,Giggly,Uplifted"
Afkansastan,indica,"Uplifted,Euphoric,Giggly,Happy,Relaxed"
Afpak,hybrid,"Relaxed,Creative,Focused,Sleepy,Happy"
African,sativa,"Euphoric,Energetic,Aroused,Tingly,Creative"
Afrikaner,sativa,None
Afternoon-Delight,hybrid,"Talkative,Relaxed,Uplifted,Tingly,Creative"
Afwreck,hybrid,"Euphoric,Happy,Uplifted,Relaxed,Sleepy"
Agent-Orange,hybrid,"Happy,Uplifted,Relaxed,Energetic,Euphoric"
Agent-Tangie,hybrid,"Uplifted,Happy,Creative,Euphoric,Focused"
Air-Jordan-Og,indica,"Happy,Relaxed,Euphoric,Sleepy,Tingly"
Als-Dream,hybrid,"Talkative,Energetic"
Alaska,sativa,"Relaxed,Sleepy,Euphoric,Focused,Happy"
Alaska-Thunder-Grape,hybrid,"Tingly,Uplifted,Creative,Euphoric,Focused"
Alaskan-Ice,sativa,"Euphoric,Uplifted,Happy,Relaxed,Energetic"
Alaskan-Thunder-Fuck,sativa,"Happy,Euphoric,Relaxed,Uplifted,Energetic"
Albert-Walker,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Hungry"
Alchemy,hybrid,"Relaxed,Sleepy,Uplifted,Hungry,Tingly"
Alf,hybrid,"Relaxed,Creative,Euphoric,Giggly,Happy"
Alice-In-Wonderland,sativa,"Focused,Euphoric,Happy,Uplifted,Relaxed"
Alien-Abduction,hybrid,"Happy,Relaxed,Focused,Uplifted,Creative"
Alien-Apparition,hybrid,"Hungry,Energetic,Euphoric,Aroused,Tingly"
Alien-Asshat,hybrid,"Euphoric,Creative,Giggly,Relaxed,Happy"
Alien-Bubba,indica,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
Alien-Dawg,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Alien-Dutchess,sativa,"Euphoric,Relaxed,Uplifted,Focused,Happy"
Alien-Hallucination,hybrid,"Happy,Relaxed,Giggly,Aroused,Hungry"
Alien-Inferno,hybrid,"Happy,Talkative,Euphoric,Uplifted,Energetic"
Alien-Kush,indica,"Relaxed,Euphoric,Happy,Tingly,Uplifted"
Alien-Og,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Alien-Reunion,hybrid,"Euphoric,Uplifted,Happy,Relaxed,Talkative"
Alien-Rift,indica,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Alien-Rock-Candy,hybrid,"Relaxed,Happy,Euphoric,Sleepy,Tingly"
Alien-Sour-Apple,hybrid,"Euphoric,Relaxed,Uplifted,Creative,Happy"
Alien-Stardawg,sativa,"Uplifted,Happy,Euphoric,Creative,Tingly"
Alien-Technology,indica,"Happy,Relaxed,Uplifted,Euphoric,Focused"
Aliens-On-Moonshine,indica,"Relaxed,Happy,Talkative,Uplifted,Giggly"
Allen-Iverson-Og,indica,"Uplifted,Euphoric,Happy,Relaxed"
Allen-Wrench,sativa,"Happy,Uplifted,Focused,Energetic,Hungry"
Allkush,indica,"Relaxed,Sleepy,Uplifted,Happy"
Aloha,sativa,"Energetic,Uplifted,Happy,Creative,Focused"
Aloha-Grape-Stomper,hybrid,"Tingly,Uplifted,Euphoric,Giggly,Happy"
Aloha-Limone,hybrid,"Euphoric,Creative,Energetic,Talkative,Uplifted"
Alohaberry,hybrid,"Energetic,Uplifted,Aroused,Tingly,Relaxed"
Alpha-Blue,sativa,"Energetic,Happy,Euphoric,Relaxed,Talkative"
Alpha-Cow,sativa,None
Alpha-Express,sativa,"Energetic,Focused,Talkative,Happy,Relaxed"
Alpha-Og,hybrid,"Relaxed,Focused,Happy,Euphoric,Sleepy"
Alpine-Blue,hybrid,"Uplifted,Creative,Energetic,Aroused,Euphoric"
Alpine-Star,indica,"Relaxed,Uplifted,Happy,Euphoric,Tingly"
Ambrosia,hybrid,"Uplifted,Euphoric,Relaxed,Creative,Focused"
American-Dream,hybrid,"Focused,Euphoric,Tingly,Energetic,Relaxed"
American-Kush,indica,"Relaxed,Tingly,Sleepy,Uplifted,Happy"
Americano,indica,"Relaxed,Creative,Focused,Euphoric,Aroused"
Amethyst,hybrid,"Energetic,Creative,Giggly,Hungry,Happy"
Amethyst-Bud,hybrid,"Uplifted,Happy,Relaxed,Focused,Energetic"
Amnesia,sativa,"Happy,Euphoric,Energetic,Creative,Uplifted"
Amnesia-Ganja-Haze,sativa,"Euphoric, Relaxed"
Amnesia-Haze,sativa,"Happy,Euphoric,Uplifted,Energetic,Creative"
