Strain,Type,Effects,H2O,TotalTHC,THC,Δ8-THC,Δ9-THC,THCA,THCV,TotalCBD,CBDA,CBDV,CBDVA,CBC,CBG,CBN,α-Pinene,Camphene,Myrcene,β-Pinene,3-Carene,α-Terpinene,D-Limonene,p-Cymene,Ocimene,Eucalyptol,γ-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,β-Caryophyllene,α-Humelene,Nerolidol-1,Nerolidol-2,Guaiol,CaryophylleneOxide,α-Bisabolol
Smarties,hybrid,"Relaxed,Happy,Euphoric, Uplifted, Creative",8.45%,219.34,219.34,0,2.6,226,0,0,0,0,0,0,1.49,0,0.6,0,0.83,0.67,0,0,2.93,0,0,0,0,0,1.58,0,0,3.16,0.87,0,0,0,0,0
Cookies,hybrid,"Relaxed,Happy,Euphoric, Uplifted, Creative",8.25%,187.94,187.94,0,4.93,191,0,0,0,0,0,0,0.86,0,0,0,1.86,0,0,0,2.95,0,0,0,0,0,1.43,0,0,5.84,2.03,0.22,0,0,0,0
Purple Wildfire,hybrid,Calming,9.78%,132.09,132.09,0,8.67,126,0,0,0,0,0,0,0,0,2.98,0,0,1.71,0,0,1.97,0,0,0,0,8.17,0,0,0,0.94,0,0,0,0,0,0
Superstitious,indica,Calming,7.90%,163.05,163.05,0,4.59,166,0,0,0,0,0,0,0,0,0,0,2.32,0.82,0,0,2.2,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0
Mystic,indica,"Relaxed,Happy,Euphoric,Uplifted,Sleepy",8.60%,137.72,137.72,0,7.48,135,0,0,0,0,0,0,0.84,0,0,0,1.99,0,0,0,1.5,0,0,0,0,6.68,0,0,0,1.58,0,0,0,0,0,0
Dosidos,indica,"Euphoric,Relaxed,Happy,Sleepy,Uplifted",8.05%,208.28,208.28,0,4.71,213,0,0,0,0,0,1.49,2,0,0,0,1.44,0,0,0,3.52,0,0,0,0,0,1.72,0,0,3.88,1.01,0.34,0,0,0,0.76
Irish Cream,indica,"Happy,Relaxed,Uplifted,Euphoric,Creative",10.17%,255.7,255.7,0,3.43,258,0,0,0,0,0,0,1.77,0,0.66,0,4.51,0.73,0,0,4.79,0,0,0,0,0,2.51,0,0,5.12,1.19,0,0,0,0,0.62
La Qrippler,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Energetic",9.45%,290.24,290.24,0,4.97,294,0,0,0,0,0,0,1.89,0,2.93,0,12.06,0.72,0,0,0,0,0,0,0,0,1.82,0,0,0.97,0,0,0,0,0,0
Razzberry Lemonade,NA,NA,11.12%,170.17,170.17,0,3.03,169,0,0,0,0,0,0,1.38,0,1.48,0,8.51,0,0,0,0,0,0,0,0,0,1.5,0,0,2.3,0,0,0,0,0,0
Og Pie Breath,NA,NA,11.03%,228.04,228.04,0,11.7,218,0,0,0,0,0,0,1.36,0,1.73,0,24.47,0,0,0,1.74,0,0,0,0,0,1.78,0,0,4.29,1.98,0,0,0,0,0
